fid,gbifID,occurrenceID,order,family,genus,species
1067,3636418621,URN:catalog:CLO:EBIRD:OBS1220882740,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
1068,4320475691,URN:catalog:CLO:EBIRD:OBS1331009393,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
1069,3191312461,URN:catalog:CLO:EBIRD:OBS1008206977,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1072,4290258089,URN:catalog:CLO:EBIRD:OBS1192868432,Galliformes,Phasianidae,Gallus,Gallus gallus
1073,4342202150,URN:catalog:CLO:EBIRD:OBS1587381484,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
1074,3645180967,URN:catalog:CLO:EBIRD:OBS1216850773,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1075,3224793962,URN:catalog:CLO:EBIRD:OBS865788035,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1076,3150769563,URN:catalog:CLO:EBIRD:OBS915653654,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
1077,3600832672,URN:catalog:CLO:EBIRD:OBS1233303396,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
1078,3290288952,URN:catalog:CLO:EBIRD:OBS1000064006,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
1079,4393966589,URN:catalog:CLO:EBIRD:OBS1518646408,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1080,5549920554,URN:catalog:CLO:EBIRD:OBS1956776316,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1081,3288474819,URN:catalog:CLO:EBIRD:OBS962390844,Columbiformes,Columbidae,Geopelia,Geopelia striata
1082,5682477494,URN:catalog:CLO:EBIRD:OBS1953183283,Apodiformes,Apodidae,Collocalia,Collocalia marginata
1083,5504506924,URN:catalog:CLO:EBIRD:OBS1954981488,Columbiformes,Columbidae,Geopelia,Geopelia striata
1084,5454901388,URN:catalog:CLO:EBIRD:OBS2040682530,Apodiformes,Apodidae,Collocalia,Collocalia marginata
1085,4660480437,URN:catalog:CLO:EBIRD:OBS1726715786,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris
1086,4238347736,URN:catalog:CLO:EBIRD:OBS1385753881,Columbiformes,Columbidae,Columba,Columba livia
1087,4615451545,URN:catalog:CLO:EBIRD:OBS1633569811,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1088,5380797616,URN:catalog:CLO:EBIRD:OBS2414893833,Passeriformes,Dicaeidae,Dicaeum,Dicaeum australe
